Model,Test MSE,Test RMSE,Type,epochs,key,look_back
mlp_model,0.9751093601108539,0.9874762579985678,BreadCrumb,25,mlp_model_epochs_25_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.9752236217878788,0.9875341117084913,BreadCrumb,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.9753282718036486,0.9875870958065666,BreadCrumb,100,mlp_model_epochs_100_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.9752062006665784,0.987525291152879,BreadCrumb,200,mlp_model_epochs_200_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,1.0127920767322915,1.0063757135047982,BreadCrumb,25,mlp_model_epochs_25_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,1.0146922486544143,1.0073193379730254,BreadCrumb,50,mlp_model_epochs_50_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,1.0364628080192755,1.0180681745439621,BreadCrumb,100,mlp_model_epochs_100_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,1.1817221845916213,1.0870704598100445,BreadCrumb,200,mlp_model_epochs_200_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,1.076556848298408,1.0375725749548357,BreadCrumb,25,mlp_model_epochs_25_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,1.0961749261945612,1.0469837277601601,BreadCrumb,50,mlp_model_epochs_50_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,1.0885749789448376,1.0433479663778702,BreadCrumb,100,mlp_model_epochs_100_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,1.1023981063626707,1.0499514780991885,BreadCrumb,200,mlp_model_epochs_200_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,1.1163302392233163,1.056565302867417,BreadCrumb,25,mlp_model_epochs_25_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,1.2309019091938223,1.1094601881968646,BreadCrumb,50,mlp_model_epochs_50_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,1.1982235597513085,1.094633984376197,BreadCrumb,100,mlp_model_epochs_100_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,1.3571231094579812,1.1649562693328799,BreadCrumb,200,mlp_model_epochs_200_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,1.294356780074467,1.1376980179619138,BreadCrumb,25,mlp_model_epochs_25_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,1.361104480434801,1.1666638249447872,BreadCrumb,50,mlp_model_epochs_50_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,1.5662299955664116,1.2514911088643066,BreadCrumb,100,mlp_model_epochs_100_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,1.8904672006512862,1.3749426172212738,BreadCrumb,200,mlp_model_epochs_200_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,1.251728437804416,1.1188067026097117,BreadCrumb,25,mlp_model_epochs_25_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,1.3992575579414182,1.1829021759813523,BreadCrumb,50,mlp_model_epochs_50_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,2.6427056068444954,1.6256400606667194,BreadCrumb,100,mlp_model_epochs_100_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,2.989395177831837,1.7289867488884456,BreadCrumb,200,mlp_model_epochs_200_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,0.308737629384038,0.5556416375543125,Candy,25,mlp_model_epochs_25_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.3085931247107596,0.555511588277652,Candy,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.3087366624282518,0.5556407674282475,Candy,100,mlp_model_epochs_100_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.3092216943637302,0.5560770579368746,Candy,200,mlp_model_epochs_200_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.32586115430735174,0.5708424951835241,Candy,25,mlp_model_epochs_25_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,0.32769265070130105,0.572444452066138,Candy,50,mlp_model_epochs_50_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,0.3316669990842948,0.5759053733768204,Candy,100,mlp_model_epochs_100_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,0.33251633148613674,0.5766422907541007,Candy,200,mlp_model_epochs_200_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,0.37094409284818697,0.6090517981651371,Candy,25,mlp_model_epochs_25_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,0.36819814581077737,0.6067933303941115,Candy,50,mlp_model_epochs_50_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,0.4090987257659435,0.639608259613604,Candy,100,mlp_model_epochs_100_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,0.41287816087635726,0.6425559593345604,Candy,200,mlp_model_epochs_200_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,0.4002679315661745,0.632667315076553,Candy,25,mlp_model_epochs_25_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,0.4392802812258846,0.6627822276026151,Candy,50,mlp_model_epochs_50_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,0.44786464371957535,0.6692269000268708,Candy,100,mlp_model_epochs_100_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,0.44488990932170835,0.6670006816501077,Candy,200,mlp_model_epochs_200_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,0.4421425331732102,0.6649379919761016,Candy,25,mlp_model_epochs_25_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,0.4775541318100703,0.691052915347349,Candy,50,mlp_model_epochs_50_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,0.49179711209166205,0.7012824766751712,Candy,100,mlp_model_epochs_100_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,0.4919195766082016,0.7013697859248014,Candy,200,mlp_model_epochs_200_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,0.43317650105603334,0.6581614551582562,Candy,25,mlp_model_epochs_25_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,0.43269833955028114,0.6577980993817792,Candy,50,mlp_model_epochs_50_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,0.4060060548095042,0.6371860441107481,Candy,100,mlp_model_epochs_100_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,0.43734853441356775,0.6613233206333856,Candy,200,mlp_model_epochs_200_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,3.3465876920892317,1.829368112789012,Default,25,mlp_model_epochs_25_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,3.382116653231293,1.839053194780209,Default,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,4.224890004033628,2.055453722182435,Default,100,mlp_model_epochs_100_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,3.3985840869044126,1.8435249081323564,Default,200,mlp_model_epochs_200_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,9.56182442336786,3.0922199830167094,Default,25,mlp_model_epochs_25_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,6.453144055898072,2.540303929827703,Default,50,mlp_model_epochs_50_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,8.559689756299628,2.925694747628267,Default,100,mlp_model_epochs_100_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,4.2179569611783885,2.053766530348177,Default,200,mlp_model_epochs_200_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,5.144030395736042,2.2680455012490475,Default,25,mlp_model_epochs_25_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,5.056976404964415,2.2487721994378207,Default,50,mlp_model_epochs_50_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,5.093160196884066,2.2568030921824054,Default,100,mlp_model_epochs_100_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,5.965928746084882,2.442525075835432,Default,200,mlp_model_epochs_200_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,5.431364481886023,2.3305287987677867,Default,25,mlp_model_epochs_25_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,5.297056691987174,2.3015335522184275,Default,50,mlp_model_epochs_50_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,5.53954324551991,2.353623428996217,Default,100,mlp_model_epochs_100_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,5.604641565254757,2.3674124197644053,Default,200,mlp_model_epochs_200_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,6.525749571969576,2.554554671947652,Default,25,mlp_model_epochs_25_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,9.605258380141214,3.099235128243937,Default,50,mlp_model_epochs_50_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,4.579025302534905,2.1398657206784972,Default,100,mlp_model_epochs_100_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,5.706389881740106,2.3888051158979264,Default,200,mlp_model_epochs_200_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,4.630226659241552,2.1517961472317846,Default,25,mlp_model_epochs_25_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,7.391529061922845,2.718736666527828,Default,50,mlp_model_epochs_50_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,5.609692534979652,2.3684789496593908,Default,100,mlp_model_epochs_100_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,8.22300540904204,2.867578317856731,Default,200,mlp_model_epochs_200_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,0.0177723728120327,0.13331306317099123,Dip,25,mlp_model_epochs_25_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.01819426380097866,0.13488611418889143,Dip,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.01837126351892948,0.13554063419849224,Dip,100,mlp_model_epochs_100_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.017866091802716255,0.13366410065053463,Dip,200,mlp_model_epochs_200_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.007346350234001875,0.08571085248672933,Dip,25,mlp_model_epochs_25_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,0.009454037994146347,0.09723187745871385,Dip,50,mlp_model_epochs_50_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,0.007668403908610344,0.08756942336575219,Dip,100,mlp_model_epochs_100_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,0.008210796862840652,0.09061344747244005,Dip,200,mlp_model_epochs_200_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,0.012453642673790455,0.11159589003986865,Dip,25,mlp_model_epochs_25_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,0.008230804465711117,0.09072378114756416,Dip,50,mlp_model_epochs_50_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,0.009679644368588924,0.098385183684277,Dip,100,mlp_model_epochs_100_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,0.01676449179649353,0.129477765645278,Dip,200,mlp_model_epochs_200_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,0.008092871867120266,0.08996039054561883,Dip,25,mlp_model_epochs_25_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,0.007340507116168737,0.08567675948685698,Dip,50,mlp_model_epochs_50_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,0.007800207007676363,0.08831878060569204,Dip,100,mlp_model_epochs_100_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,0.017517223954200745,0.13235264997045107,Dip,200,mlp_model_epochs_200_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,0.011845276691019535,0.10883600824644174,Dip,25,mlp_model_epochs_25_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,0.014033290557563305,0.11846219041349566,Dip,50,mlp_model_epochs_50_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,0.01315133273601532,0.11467926026974241,Dip,100,mlp_model_epochs_100_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,0.014565694145858288,0.12068841761270337,Dip,200,mlp_model_epochs_200_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,0.018740935251116753,0.13689753559183143,Dip,25,mlp_model_epochs_25_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,0.01659463904798031,0.12882018105863813,Dip,50,mlp_model_epochs_50_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,0.014358735643327236,0.11982794183047306,Dip,100,mlp_model_epochs_100_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,0.009595788083970547,0.09795809350926828,Dip,200,mlp_model_epochs_200_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,1.7724776980007002,1.3313443198514425,Instant,25,mlp_model_epochs_25_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,1.7720470415932594,1.331182572599739,Instant,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,1.7721866130398167,1.3312349954233538,Instant,100,mlp_model_epochs_100_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,1.7722342228516936,1.3312528771242875,Instant,200,mlp_model_epochs_200_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,1.8370311532139045,1.3553712233974515,Instant,25,mlp_model_epochs_25_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,1.8365401366112952,1.3551900739790324,Instant,50,mlp_model_epochs_50_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,1.8365371143631446,1.3551889589142705,Instant,100,mlp_model_epochs_100_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,1.8363059956880265,1.3551036844788027,Instant,200,mlp_model_epochs_200_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,2.32790795130691,1.5257483250218267,Instant,25,mlp_model_epochs_25_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,2.4693881476449215,1.571428696328574,Instant,50,mlp_model_epochs_50_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,2.7156088073856326,1.6479104367002573,Instant,100,mlp_model_epochs_100_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,2.710550442629774,1.6463749398693404,Instant,200,mlp_model_epochs_200_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,2.603483253970938,1.6135312993465414,Instant,25,mlp_model_epochs_25_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,2.563112503679349,1.6009723619348804,Instant,50,mlp_model_epochs_50_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,2.448291264512201,1.5647016535148803,Instant,100,mlp_model_epochs_100_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,2.7112194481268097,1.6465781026501018,Instant,200,mlp_model_epochs_200_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,3.9904339531904807,1.9976070567532747,Instant,25,mlp_model_epochs_25_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,3.045794409347347,1.7452204472064115,Instant,50,mlp_model_epochs_50_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,3.4091158449139507,1.8463791173304442,Instant,100,mlp_model_epochs_100_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,2.6716963487809737,1.6345324557135517,Instant,200,mlp_model_epochs_200_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,2.98153744312203,1.7267129011859585,Instant,25,mlp_model_epochs_25_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,3.8005410515676896,1.949497640821268,Instant,50,mlp_model_epochs_50_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,5.216258608721261,2.2839130037550164,Instant,100,mlp_model_epochs_100_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,15.772316736252476,3.971437615807716,Instant,200,mlp_model_epochs_200_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,0.002886637092821977,0.053727433335512845,Not Available,25,mlp_model_epochs_25_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.0031195479268465824,0.055852913324611654,Not Available,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.003140263788571412,0.05603805660951682,Not Available,100,mlp_model_epochs_100_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.003059936476606331,0.05531669256749115,Not Available,200,mlp_model_epochs_200_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.0029585318731479957,0.054392388007404084,Not Available,25,mlp_model_epochs_25_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,0.0035562770380104173,0.05963452890742424,Not Available,50,mlp_model_epochs_50_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,0.0031294496462787274,0.05594148412652928,Not Available,100,mlp_model_epochs_100_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,0.0033429098452945226,0.057817902463635974,Not Available,200,mlp_model_epochs_200_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,0.0033247639588279347,0.057660766200493166,Not Available,25,mlp_model_epochs_25_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,0.003592137143843704,0.05993444038150105,Not Available,50,mlp_model_epochs_50_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,0.0036508653981563374,0.060422391529600494,Not Available,100,mlp_model_epochs_100_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,0.002013434481838893,0.04487131023091362,Not Available,200,mlp_model_epochs_200_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,0.00414917164432284,0.06441406402582311,Not Available,25,mlp_model_epochs_25_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,0.0006022847155691124,0.02454148967705735,Not Available,50,mlp_model_epochs_50_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,0.003889672420752634,0.06236723836079832,Not Available,100,mlp_model_epochs_100_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,0.003089339335149686,0.05558182558309583,Not Available,200,mlp_model_epochs_200_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,0.0047102398935392085,0.06863118746997758,Not Available,25,mlp_model_epochs_25_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,0.003938902739574698,0.06276067829122545,Not Available,50,mlp_model_epochs_50_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,0.003989671918380761,0.06316384977485746,Not Available,100,mlp_model_epochs_100_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,0.0042809320082800965,0.06542883162857256,Not Available,200,mlp_model_epochs_200_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,0.00533121479127337,0.07301516822738525,Not Available,25,mlp_model_epochs_25_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,0.004857050757124728,0.06969254448737489,Not Available,50,mlp_model_epochs_50_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,0.0038766232912666072,0.0622625352139359,Not Available,100,mlp_model_epochs_100_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,0.0051699214815801265,0.07190216604233927,Not Available,200,mlp_model_epochs_200_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
mlp_model,0.9624730560619369,0.981057111518966,Nut,25,mlp_model_epochs_25_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.9649590428167653,0.9823232883408421,Nut,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.9571126758345502,0.9783213561169715,Nut,100,mlp_model_epochs_100_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.9485004169667662,0.9739098608016895,Nut,200,mlp_model_epochs_200_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1
mlp_model,0.970169866549187,0.9849720130791468,Nut,25,mlp_model_epochs_25_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,1.0011867432564985,1.0005931956876872,Nut,50,mlp_model_epochs_50_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,1.0432645900816213,1.021403245580129,Nut,100,mlp_model_epochs_100_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,1.1385765083012034,1.067041005913645,Nut,200,mlp_model_epochs_200_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10
mlp_model,0.9943028347105043,0.9971473485450906,Nut,25,mlp_model_epochs_25_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,1.048549790922393,1.0239872025188563,Nut,50,mlp_model_epochs_50_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,1.0996529914629765,1.048643405292274,Nut,100,mlp_model_epochs_100_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,1.578553009746421,1.2564047953372437,Nut,200,mlp_model_epochs_200_look_back_20_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,20
mlp_model,0.9919319677033595,0.9959578142187346,Nut,25,mlp_model_epochs_25_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,1.1222079728863068,1.0593431799404323,Nut,50,mlp_model_epochs_50_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,1.6974646824279003,1.302867868368815,Nut,100,mlp_model_epochs_100_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,1.6177176857101065,1.2718953124019707,Nut,200,mlp_model_epochs_200_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30
mlp_model,1.104663288934487,1.051029632757558,Nut,25,mlp_model_epochs_25_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,1.151152950093568,1.0729179605606236,Nut,50,mlp_model_epochs_50_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,1.8165239397888986,1.3477848269619668,Nut,100,mlp_model_epochs_100_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,1.8216915517766898,1.3497005415190029,Nut,200,mlp_model_epochs_200_look_back_40_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,40
mlp_model,1.0121609592700707,1.0060621050760588,Nut,25,mlp_model_epochs_25_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50
